                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7257,                 2.9951,                0.87371,                 1.1703,                0.79468,                0.69989,                0.77546,                0.42734,                0.75672,                0.64894,                0.69222,                0.27399,                    1.6,                 2.7484,                0.79968,                 1.1329,             0.00066553,             0.00066553,             0.00066553
                      2,                 1.6132,                 2.7514,                0.75961,                 1.1081,                 0.7914,                 0.7176,                0.78848,                0.43355,                0.75217,                 0.6672,                0.70144,                0.27956,                  1.579,                 2.5879,                0.80964,                 1.1173,              0.0012794,              0.0012794,              0.0012794
                      3,                 1.5702,                 2.6965,                0.73643,                 1.0955,                0.77976,                0.72297,                0.79469,                0.43819,                0.73918,                0.67877,                0.71639,                0.28279,                 1.5824,                 2.6742,                 0.8207,                 1.1006,              0.0018406,              0.0018406,              0.0018406
                      4,                 1.5544,                 2.6366,                 0.7248,                 1.0879,                0.79772,                0.73469,                0.81018,                0.44907,                0.75418,                0.68333,                0.72462,                 0.2961,                 1.5575,                 2.5872,                0.76791,                 1.1012,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.5313,                 2.5861,                0.71158,                 1.0824,                0.81899,                0.73437,                0.81501,                0.45601,                0.78473,                0.68612,                 0.7413,                0.31241,                 1.5688,                 2.5003,                0.74334,                 1.1061,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.5048,                 2.5556,                0.69764,                 1.0705,                0.81375,                0.75117,                0.82957,                0.48575,                0.78168,                0.71057,                0.76786,                0.34216,                 1.4622,                 2.3818,                0.70344,                  1.068,               0.001604,               0.001604,               0.001604
                      7,                 1.4995,                 2.5441,                 0.6924,                 1.0692,                0.81623,                0.75606,                0.82865,                0.47336,                0.78501,                0.72009,                0.76184,                0.32481,                 1.4478,                 2.3719,                0.70662,                 1.0547,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.4874,                 2.5172,                0.68107,                 1.0632,                0.82139,                0.74308,                0.82961,                0.48441,                0.78585,                0.69827,                0.76092,                0.34226,                 1.4629,                 2.3867,                0.71097,                 1.0615,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.4769,                 2.5198,                0.68231,                 1.0621,                0.81077,                0.76191,                0.83394,                   0.48,                0.77444,                0.72264,                0.76495,                0.32612,                 1.4513,                 2.3925,                0.70752,                 1.0565,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.4469,                 2.4705,                0.66781,                 1.0519,                0.83254,                0.75422,                  0.838,                0.49098,                0.79691,                0.71071,                0.76664,                0.33563,                 1.4443,                   2.32,                 0.6841,                 1.0592,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.4491,                  2.476,                 0.6661,                 1.0527,                 0.8263,                0.75456,                0.83492,                0.48514,                 0.7925,                 0.7133,                0.76911,                0.33929,                 1.4573,                 2.3691,                0.69422,                  1.057,               0.001208,               0.001208,               0.001208
                     12,                 1.4446,                 2.4656,                0.66173,                 1.0478,                0.83183,                0.76367,                0.84268,                0.49594,                 0.8019,                0.72528,                0.78115,                0.35052,                 1.4244,                 2.3039,                0.67385,                 1.0474,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.4377,                 2.4248,                0.65714,                 1.0464,                0.82603,                0.76238,                0.84198,                0.49876,                0.78708,                0.71731,                0.77192,                0.34783,                 1.4103,                 2.3687,                0.67141,                 1.0441,              0.0010496,              0.0010496,              0.0010496
                     14,                 1.4309,                 2.4271,                0.65452,                 1.0455,                0.81824,                0.75478,                0.83178,                0.48555,                0.78195,                 0.7138,                0.76104,                 0.3307,                 1.4233,                 2.3377,                0.68746,                  1.047,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.4186,                 2.4291,                0.64956,                 1.0422,                0.82021,                0.75878,                0.84003,                0.49855,                0.78506,                0.71324,                0.77047,                0.34746,                 1.4082,                 2.2962,                0.67556,                 1.0412,              0.0008912,              0.0008912,              0.0008912
                     16,                  1.402,                 2.3975,                0.66267,                 1.0628,                0.82439,                0.77446,                0.84675,                0.51707,                0.78028,                0.72666,                0.76966,                0.34412,                 1.3457,                 2.2433,                0.65554,                 1.0364,               0.000812,               0.000812,               0.000812
                     17,                 1.3866,                 2.3867,                 0.6532,                 1.0542,                0.83271,                0.77624,                0.85043,                0.51959,                0.78847,                0.72674,                0.77069,                0.33552,                 1.3496,                 2.2222,                0.64655,                 1.0338,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.3784,                 2.3569,                 0.6464,                 1.0526,                0.83612,                 0.7588,                0.84349,                0.51694,                0.80306,                0.71555,                0.77591,                0.34685,                 1.3531,                 2.2441,                0.65562,                 1.0373,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.3843,                 2.3568,                0.64694,                 1.0521,                0.83843,                0.77325,                0.84968,                0.52532,                0.80515,                0.73128,                0.78435,                 0.3552,                 1.3251,                  2.197,                0.64424,                 1.0261,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.3714,                 2.3575,                 0.6415,                 1.0481,                 0.8296,                0.77575,                0.85089,                0.52401,                0.79078,                0.72791,                0.77756,                0.34859,                 1.3357,                 2.2031,                0.64628,                 1.0292,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.3623,                 2.3447,                 0.6349,                 1.0468,                0.83221,                0.77844,                0.85269,                 0.5258,                0.79073,                0.72964,                0.77864,                0.34983,                 1.3324,                 2.1994,                0.64165,                 1.0289,               0.000416,               0.000416,               0.000416
