                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.242,                 3.5704,                 1.4298,                 1.2369,                0.68826,                0.59631,                0.67883,                0.33275,                0.64728,                0.54208,                0.58639,                0.21593,                 1.8587,                 3.0381,                 1.0172,                 1.1418,              0.0006661,              0.0006661,              0.0006661
                      2,                 1.9251,                 3.1929,                0.95818,                 1.1485,                0.71945,                0.63252,                0.72195,                0.36249,                0.67744,                 0.5709,                 0.6163,                0.23292,                 1.7732,                 2.9402,                0.92969,                 1.1173,                0.00128,                0.00128,                0.00128
                      3,                 1.8642,                 3.1139,                0.92252,                 1.1358,                0.71964,                0.62635,                0.71276,                0.35074,                0.65166,                0.54989,                0.57962,                0.21145,                 1.8086,                 2.8645,                 0.9358,                 1.1096,              0.0018411,              0.0018411,              0.0018411
                      4,                 1.8508,                 3.0621,                0.90499,                   1.13,                  0.757,                0.65866,                0.75461,                0.39321,                0.71992,                0.60105,                0.66676,                0.27244,                  1.712,                 2.7602,                0.88266,                 1.1047,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.8046,                 3.0071,                0.88434,                 1.1178,                0.74916,                0.65323,                0.74294,                0.37508,                0.70719,                0.59402,                0.64386,                0.24281,                   1.78,                 2.8359,                 0.9089,                 1.1217,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.7991,                  2.964,                0.87227,                 1.1129,                0.76863,                0.65903,                0.75843,                0.40204,                0.73118,                0.60757,                0.67744,                0.27834,                 1.6783,                 2.6918,                0.86967,                 1.0963,               0.001604,               0.001604,               0.001604
                      7,                 1.7815,                 2.9242,                0.86069,                 1.1063,                0.76095,                0.67215,                0.76309,                0.39945,                0.72625,                0.62716,                0.68721,                0.27648,                 1.7005,                 2.6698,                0.86921,                 1.0957,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.7747,                 2.9106,                 0.8511,                 1.1014,                 0.7712,                0.68423,                 0.7722,                0.40889,                0.73708,                0.63877,                0.69341,                0.28607,                 1.6468,                 2.6536,                0.85509,                 1.0824,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.7487,                 2.8792,                0.84417,                 1.0971,                0.77635,                0.69163,                0.77816,                0.40762,                0.73687,                0.64611,                0.69535,                0.28273,                 1.6592,                 2.6353,                0.84253,                 1.0855,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.7378,                 2.8793,                0.83457,                  1.092,                0.77587,                 0.6889,                 0.7786,                0.41534,                0.73905,                0.63927,                0.69959,                0.29142,                  1.625,                 2.6211,                0.84225,                 1.0767,              0.0012872,              0.0012872,              0.0012872
